<span class="LineNumber"> 001 </span>                 สาลาทารกเถราปทานที่ ๙ (๑๓๙)            
<span class="LineNumber"> 002 </span>                   ว่าด้วยผลแห่งการถวายดอกรัง           
<span class="LineNumber"> 003 </span>    [๑๔๑] เวลานั้น เราเป็นราชสีห์พระยาเนื้อมีสกุล เราแสวงหาห้วง (บ่อ) น้ำ              
<span class="LineNumber"> 004 </span>          บนเขา ได้เห็นพระผู้มีพระภาคผู้เป็นนายกของโลก จึงดำริว่า พระมหา              
<span class="LineNumber"> 005 </span>          วีรเจ้าพระองค์นี้ ย่อมยังมหาชนให้ดับได้ ถ้าเช่นนั้น เราพึงเข้าไปเฝ้า         
<span class="LineNumber"> 006 </span>          พระองค์ผู้ประเสริฐกว่าเทวดา ผู้องอาจกว่านระเถิด เราจึงหักกิ่งรังแล้ว         
<span class="LineNumber"> 007 </span>          แล้วนำเอาดอกมาพร้อมด้วยกระออมน้ำ (ใส่กระออมน้ำมา) เข้าไปเฝ้า                 
<span class="LineNumber"> 008 </span>          พระสัมพุทธเจ้าแล้ว ได้ถวายดอกรังอันงาม ในกัลปที่ ๙๑ แต่กัลปนี้               
<span class="LineNumber"> 009 </span>          เราบูชาพระพุทธเจ้าด้วยดอกไม้ใด ด้วยการบูชานั้น เราไม่รู้จักทุคติเลย          
<span class="LineNumber"> 010 </span>          นี้เป็นผลแห่งการถวายดอกไม้ และในกัลปที่ ๙ แต่กัลปนี้ ได้มีพระเจ้า            
<span class="LineNumber"> 011 </span>          จักรพรรดิ ๓ พระองค์ ทรงพระนามว่าวิโรจนะ มีพลมาก คุณวิเศษ  
<span class="LineNumber"> 012 </span>          เหล่านี้ คือ ปฏิสัมภิทา ๔ วิโมกข์ ๘ และอภิญญา ๖ เราทำให้แจ้ง                 
<span class="LineNumber"> 013 </span>          ชัดแล้ว พระพุทธศาสนาเราได้ทำเสร็จแล้ว ดังนี้.  
<span class="LineNumber"> 014 </span>     ทราบว่า ท่านพระสาลทายกเถระได้กล่าวคาถาเหล่านี้ ด้วยประการฉะนี้แล.                 
<span class="LineNumber"> 015 </span>                    จบ สาลทายกเถราปทาน.                 
<span class="LineNumber"> 016 </span>                  ผลทายกเถราปทานที่ ๑๐ (๑๔๐)            
<span class="LineNumber"> 017 </span>                  ว่าด้วยผลแห่งการถวายผลมะหาด           
<span class="LineNumber"> 018 </span>    [๑๔๒] ในกาลนั้น เราเป็นพรานเที่ยวฆ่าสัตว์อื่นเป็นอย่างมาก สำเร็จการนอนอยู่         
<span class="LineNumber"> 019 </span>          ที่เงื้อมเขา ไม่ไกลพระศาสดาพระนามว่าสิขี เราได้เห็นพระพุทธเจ้า               
<span class="LineNumber"> 020 </span>          อัครนายกของโลก ทั้งเวลาเย็น เวลาเช้า ก็เราไม่มีไทยธรรมสำหรับ                 
<span class="LineNumber"> 021 </span>          ถวายแด่พระศาสดาผู้จอมสัตว์ ผู้คงที่ เราได้ถือเอาผลมะหาดไปสู่สำนัก            
<span class="LineNumber"> 022 </span>          พระพุทธเจ้า พระผู้มีพระภาคเชษฐบุรุษของโลกผู้ประเสริฐกว่านระทรงรับ            
<span class="LineNumber"> 023 </span>          ต่อแต่นั้น เราได้ถือผลมะหาดไปปวารณา พระองค์ผู้นำวิเศษ ด้วยจิต                
<span class="LineNumber"> 024 </span>          อันเลื่อมใสนั้น เราได้ทำกาลกิริยา ณ ที่นั้นเอง ในกัลปที่ ๓๑ แต่กัลปนี้    
