<span class="LineNumber"> 001 </span>                        ฉัตตวรรคที่ ๑๕  
<span class="LineNumber"> 002 </span>                  อธิฉัตติยเถราปทานที่ ๑ (๑๔๑)          
<span class="LineNumber"> 003 </span>                   ว่าด้วยผลแห่งการบูชาด้วยฉัตร         
<span class="LineNumber"> 004 </span>    [๑๔๓] เมื่อพระผู้มีพระภาคพระนามว่าอัตถทัสสี ผู้สูงสุดกว่านระ ปรินิพพานแล้ว         
<span class="LineNumber"> 005 </span>          เราให้ช่างทำฉัตรเป็นชั้นๆ บูชาไว้ที่พระสถูป ได้มานมัสการพระพุทธเจ้า          
<span class="LineNumber"> 006 </span>          ผู้เป็นนายกของโลก ตามกาลอันสมควร (และ) ได้ทำหลังคาดอกไม้บูชา                 
<span class="LineNumber"> 007 </span>          (ยกขึ้น) ไว้ที่ฉัตร ใน ๑๗๐๐ กัลป เราได้เสวยเทวรัชสมบัติ ไม่ไปสู่             
<span class="LineNumber"> 008 </span>          ความเป็นมนุษย์เลย นี้เป็นผลแห่งการบูชาพระสถูป คุณวิเศษเหล่านี้               
<span class="LineNumber"> 009 </span>          คือ ปฏิสัมภิทา ๔ วิโมกข์ ๘ และอภิญญา ๖ เราทำให้แจ้งชัดแล้ว  
<span class="LineNumber"> 010 </span>          พระพุทธศาสนาเราได้ทำเสร็จแล้ว ดังนี้.         
<span class="LineNumber"> 011 </span>     ทราบว่า ท่านอธิฉัตติยเถระได้กล่าวคาถาเหล่านี้ ด้วยประการฉะนี้แล.  
<span class="LineNumber"> 012 </span>                     จบ อธิฉัตติยเถราปทาน.              
<span class="LineNumber"> 013 </span>                 ถัมภาโรปกเถราปทานที่ ๒ (๑๔๒)           
<span class="LineNumber"> 014 </span>                    ว่าด้วยผลแห่งการยกเสาธง             
<span class="LineNumber"> 015 </span>    [๑๔๔] เมื่อพระโลกนาถพระนามว่าธรรมทัสสี ผู้ประเสริฐกว่านระ นิพพานแล้ว               
<span class="LineNumber"> 016 </span>          เราได้ยกเสาธงขึ้นไว้ที่เจดีย์ แห่งพระพุทธเจ้าผู้ประเสริฐสุด ให้นายช่าง       
<span class="LineNumber"> 017 </span>          สร้างบันไดสำหรับประชาชน จะได้ขึ้นสู่สถูปอันประเสริฐ แล้วถือเอา               
<span class="LineNumber"> 018 </span>          ดอกมะลิไปโปรยบูชาที่พระสถูป โอ พระพุทธเจ้า โอ พระธรรม โอ  
<span class="LineNumber"> 019 </span>          ความถึงพร้อมแห่งพระศาสดาหนอ เราไม่รู้จักทุคติเลย นี้เป็นผลแห่ง               
<span class="LineNumber"> 020 </span>          การบูชาพระสถูป ในกัลปที่ ๙๔ แต่กัลปนี้ได้ มีพระเจ้าจักรพรรดิราช ๑๖           
<span class="LineNumber"> 021 </span>          พระองค์ ทรงพระนามว่า ถูปสิขะ มีพลมาก คุณวิเศษเหล่านี้ คือ  
