<span class="LineNumber"> 001 </span>	  ติสฺโส วิชฺชา อนุปฺปตฺตา     กตํ พุทฺธสฺส สาสนนฺติ ฯ  
<span class="LineNumber"> 002 </span>		   สปฺปทาโส เถโร ฯ  
<span class="LineNumber"> 003 </span>	 [๓๕๓] ๗ อุฏฺ€าหิ นิสีท กาติยาน   
<span class="LineNumber"> 004 </span>		 มา นิทฺทาพหุโล ๑ อหุ ชาครสฺสุ   
<span class="LineNumber"> 005 </span>		 มา ตํ อลสํ ปมตฺตพนฺธุ  
<span class="LineNumber"> 006 </span>		 กูเฏเนว ชินาตุ มจฺจุราชา ฯ   
<span class="LineNumber"> 007 </span>		 เสยฺยถาปิ ๑ มหาสมุทฺทเวโค   
<span class="LineNumber"> 008 </span>		 เอวํ ชาติชราติวตฺตเต ตํ  
<span class="LineNumber"> 009 </span>		 โส กโรหิ สุทีปมตฺตโน ตฺวํ  
<span class="LineNumber"> 010 </span>		 น หิ ตาณํ ตว วิชฺชเตธ ๒ อฺํ ฯ   
<span class="LineNumber"> 011 </span>		 สตฺถา หิ วิเชสิ มคฺคเมตํ   
<span class="LineNumber"> 012 </span>		 สงฺคา ชาติชราภยา อตีตํ   
<span class="LineNumber"> 013 </span>		 ปุพฺพาปรรตฺตมปฺปมตฺโต  
<span class="LineNumber"> 014 </span>		 อนุยุฺชสฺสุ ทฬฺหํ กโรหิ โยคํ ฯ  
<span class="LineNumber"> 015 </span>		 ปุริมานิ ปมุฺจ พนฺธนานิ   
<span class="LineNumber"> 016 </span>		 สงฺฆาฏีขุรมุณฺฑภิกฺขโภชี   
<span class="LineNumber"> 017 </span>		 มา ขิฑฺฑารติฺจ มา นิทฺทํ  
<span class="LineNumber"> 018 </span>		 อนุยุฺชิตฺถ ฌิยาย ๓ กาติยาน ฯ  
<span class="LineNumber"> 019 </span>		 ฌายาหิ ชินาหิ กาติยาน  
<span class="LineNumber"> 020 </span>#๑ สี. ยุ. สยถาปิ ฯ   ๒ ม. ยุ. ว ฯ   ๓ ม. ฌาย ฯ   
