<span class="LineNumber"> 001 </span>                           ธาตุยมก               
<span class="LineNumber"> 002 </span>                          ปัณณัตติวาร            
<span class="LineNumber"> 003 </span>     [๗๙๔] ธาตุ ๑๘ คือ  
<span class="LineNumber"> 004 </span>               ๑. จักขุธาตุ  
<span class="LineNumber"> 005 </span>               ๒. โสตธาตุ  
<span class="LineNumber"> 006 </span>               ๓. ฆานธาตุ  
<span class="LineNumber"> 007 </span>               ๔. ชิวหาธาตุ  
<span class="LineNumber"> 008 </span>               ๕. กายธาตุ  
<span class="LineNumber"> 009 </span>               ๖. รูปธาตุ  
<span class="LineNumber"> 010 </span>               ๗. สัททธาตุ  
<span class="LineNumber"> 011 </span>               ๘. คันธธาตุ  
<span class="LineNumber"> 012 </span>               ๙. รสธาตุ  
<span class="LineNumber"> 013 </span>              ๑๐. โผฏฐัพพธาตุ  
<span class="LineNumber"> 014 </span>              ๑๑. จักขุวิญญาญธาตุ                
<span class="LineNumber"> 015 </span>              ๑๒. โสตวิญญาณธาตุ  
<span class="LineNumber"> 016 </span>              ๑๓. ฆานวิญญาณธาตุ  
<span class="LineNumber"> 017 </span>              ๑๔. ชิวหาวิญญาณธาตุ                
<span class="LineNumber"> 018 </span>              ๑๕. กายวิญญาณธาตุ  
<span class="LineNumber"> 019 </span>              ๑๖. มโนธาตุ  
<span class="LineNumber"> 020 </span>              ๑๗. มโนวิญญาณธาตุ  
<span class="LineNumber"> 021 </span>              ๑๘. ธัมมธาตุ  
<span class="LineNumber"> 022 </span>                          อุทเทสวาร              
<span class="LineNumber"> 023 </span>     [๗๙๕] จักขุ คือ จักขุธาตุหรือ จักขุธาตุ คือจักขุหรือ?  
<span class="LineNumber"> 024 </span>      โสต คือโสตธาตุหรือ โสตธาตุ คือโสตหรือ ฯลฯ.  
