<span class="LineNumber"> 001 </span>    [๑๔๒๐] ส. สัมมาวาจา ไม่เกิดคล้อยตามจิต หรือ?           
<span class="LineNumber"> 002 </span>           ป. ถูกแล้ว        
<span class="LineNumber"> 003 </span>           ส. สัมมาทิฏฐิ ไม่เกิดคล้อยตามจิต หรือ?          
<span class="LineNumber"> 004 </span>           ป. ไม่พึงกล่าวอย่างนั้น ฯลฯ                     
<span class="LineNumber"> 005 </span>           ส. สัมมาวาจา ไม่เกิดคล้อยตามจิต หรือ?           
<span class="LineNumber"> 006 </span>           ป. ถูกแล้ว        
<span class="LineNumber"> 007 </span>           ส. สัมมาสังกัปปะ ฯลฯ สัมมาวายามะ ฯลฯ สัมมาสติ ฯลฯ สัมมาสมาธิ                  
<span class="LineNumber"> 008 </span>              ไม่เกิดคล้อยตามจิต หรือ?                     
<span class="LineNumber"> 009 </span>           ป. ไม่พึงกล่าวอย่างนั้น ฯลฯ                     
<span class="LineNumber"> 010 </span>           ส. สัมมากัมมันตะ ฯลฯ สัมมาอาชีวะ ไม่เกิดคล้อยตามจิต หรือ?                     
<span class="LineNumber"> 011 </span>           ป. ถูกแล้ว        
<span class="LineNumber"> 012 </span>           ส. สัมมาทิฏฐิ ไม่เกิดคล้อยตามจิต หรือ?          
<span class="LineNumber"> 013 </span>           ป. ไม่พึงกล่าวอย่างนั้น ฯลฯ                     
<span class="LineNumber"> 014 </span>           ส. สัมมาอาชีวะ ไม่เกิดคล้อยตามจิต หรือ?         
<span class="LineNumber"> 015 </span>           ป. ถูกแล้ว        
<span class="LineNumber"> 016 </span>           ส. สัมมาสังกัปปะ ฯลฯ สัมมาวายามะ ฯลฯ สัมมาสติ ฯลฯ สัมมาสมาธิ                  
<span class="LineNumber"> 017 </span>              ไม่เกิดคล้อยตามจิต หรือ?                     
<span class="LineNumber"> 018 </span>           ป. ไม่พึงกล่าวอย่างนั้น ฯลฯ                     
<span class="LineNumber"> 019 </span>    [๑๔๒๑] ส. สัมมาทิฏฐิ เกิดคล้อยตามจิต หรือ?             
<span class="LineNumber"> 020 </span>           ป. ถูกแล้ว        
<span class="LineNumber"> 021 </span>           ส. สัมมาวาจา เกิดคล้อยตามจิต หรือ?              
<span class="LineNumber"> 022 </span>           ป. ไม่พึงกล่าวอย่างนั้น ฯลฯ                     
<span class="LineNumber"> 023 </span>           ส. สัมมาทิฏฐิ เกิดคล้อยตามจิต หรือ?             
<span class="LineNumber"> 024 </span>           ป. ถูกแล้ว       
