<span class="LineNumber"> 001 </span>		      ๒. เสตเกตุชาดก  
<span class="LineNumber"> 002 </span>		   ว่าด้วยคนที่ได้ชื่อว่าเป็นทิศ      
<span class="LineNumber"> 003 </span>  	[๘๓๗] พ่อเอ๋ย อย่าโกรธเลย เพราะความโกรธไม่ดี ทิศที่เจ้าไม่ได้ยินได้ฟังมี          
<span class="LineNumber"> 004 </span>            เป็นอันมาก พ่อเสตเกตุเอ๋ย มารดาบิดาชื่อว่า เป็นทิศ พระอริยเจ้า
<span class="LineNumber"> 005 </span>            ทั้งหลายกล่าวสรรเสริญอาจารย์ว่า เป็นทิศ.    
<span class="LineNumber"> 006 </span>  	[๘๓๘] คฤหัสถ์ทั้งหลายผู้ให้ข้าว น้ำ และผ้า ผู้ให้มารับ ท่านก็กล่าวว่า เป็นทิศ     
<span class="LineNumber"> 007 </span>            เสตเกตุเอ๋ย บุคคลผู้มีความทุกข์ถึงทิศใดแล้วกลับเป็นผู้มีความสุข ทิศ         
<span class="LineNumber"> 008 </span>            นั้นชื่อว่า เป็นทิศสูงสุด.  
<span class="LineNumber"> 009 </span>  	[๘๓๙] ชฎิลเหล่าใด นุ่งหนังเสือเหลืองทั้งเล็บ มีฟันเขรอะ รูปร่างมอมแมม             
<span class="LineNumber"> 010 </span>            สาธยายมนต์อยู่ ชฎิลเหล่านั้น ตั้งอยู่ในความเพียรที่มนุษย์ควรทำ เจน          
<span class="LineNumber"> 011 </span>            จัดโลกนี้ จะพ้นจากอบายได้ละหรือ?            
<span class="LineNumber"> 012 </span>  	[๘๔๐] ข้าแต่พระราชา บุคคลแม้จะมีเวทมนต์ตั้งพัน เป็นพหูสูต กระทำแต่
<span class="LineNumber"> 013 </span>            กรรมอันลามกทั้งหลาย ไม่พึงประพฤติธรรม ผู้นั้น อาศัยความเป็น 
<span class="LineNumber"> 014 </span>            พหูสูตนั้น ไม่ประพฤติจรณธรรม จะพึงพ้นจากทุกข์ไปไม่ได้.      
<span class="LineNumber"> 015 </span>  	[๘๔๑] บุคคลแม้มีเวทมนต์ตั้งพัน อาศัยความเป็นพหูสูตนั้น แต่ไม่ประพฤติ
<span class="LineNumber"> 016 </span>            จรณธรรม พึงพ้นจากทุกข์ไปไม่ได้ เมื่อเป็นเช่นนั้น เราย่อมสำคัญว่า            
<span class="LineNumber"> 017 </span>            เวททั้งหลาย ย่อมไม่มีผล การประพฤติสำรวมด้วยดีนั่นแล เป็นความ
<span class="LineNumber"> 018 </span>            จริงแท้.    
<span class="LineNumber"> 019 </span>  	[๘๔๒] เวททั้งหลายจะไม่มีผลเลยนั้นหามิได้ การประพฤติสำรวมด้วยดีนั่นแล
<span class="LineNumber"> 020 </span>            เป็นความจริงแท้ บุคคลเรียนเวททั้งหลายแล้ว ย่อมได้รับเกียรติ บุคคล           
<span class="LineNumber"> 021 </span>            ฝึกฝนตนด้วยจรณธรรม ย่อมถึงสันติ.            
<span class="LineNumber"> 022 </span>		    จบ เสตเกตุชาดกที่ ๒.
<span class="LineNumber"> 023 </span>		       ๓. ทรีมุขชาดก  
<span class="LineNumber"> 024 </span>		      ว่าด้วยโทษของกาม
<span class="LineNumber"> 025 </span>  	[๘๔๓] ดูกรมหาบพิตร กามทั้งหลายเหมือนสวะ กามทั้งหลายเหมือนหล่ม อนึ่ง 
