<span class="LineNumber"> 001 </span>		       ๙. อุปาหนวรรค  
<span class="LineNumber"> 002 </span>		       ๑. อุปาหนชาดก  
<span class="LineNumber"> 003 </span>		 อนารยชนย่อมใช้ศิลปะในทางผิด          
<span class="LineNumber"> 004 </span>  	[๓๑๑] รองเท้าที่คนซื้อมา เพื่อประโยชน์จะให้สบายเท้า กลับนำเอาความทุกข์            
<span class="LineNumber"> 005 </span>            มาให้ รองเท้านั้น ถูกแดดเผาบ้าง ถูกพื้นเท้าครูดสีบ้าง ก็กลับกัดเท้า         
<span class="LineNumber"> 006 </span>            ของผู้นั้นนั่นแหละ ฉันใด.   
<span class="LineNumber"> 007 </span>  	[๓๑๒] ผู้ใด เกิดในตระกูลต่ำ ไม่ใช่อารยชน เรียนวิชาและศิลปะมาจากสำนัก
<span class="LineNumber"> 008 </span>            อาจารย์ได้แล้ว ผู้นั้น ย่อมฆ่าตนเองด้วยศิลปะที่เรียนมาในสำนักของ            
<span class="LineNumber"> 009 </span>            อาจารย์นั้น ฉันนั้น บุคคลนั้น บัณฑิตเรียกว่า ไม่ใช่อารยชน เปรียบ            
<span class="LineNumber"> 010 </span>            ด้วยรองเท้าที่ทำไม่ดี ฉะนั้น. 
<span class="LineNumber"> 011 </span>		     จบ อุปาหนชาดกที่ ๑.
<span class="LineNumber"> 012 </span>		       ๒. วีณาถูณชาดก 
<span class="LineNumber"> 013 </span>		          รักคนผิด    
<span class="LineNumber"> 014 </span>  	[๓๑๓] เรื่องนี้เจ้าคิดคนเดียว บุรุษเตี้ย ค่อม ผู้โง่เขลานี้ จะนำทางไปไม่ได้แน่    
<span class="LineNumber"> 015 </span>            ดูกรเจ้าผู้เจริญ เจ้าไม่สมควรจะไปกับบุรุษเตี้ยค่อมผู้นี้เลย.
<span class="LineNumber"> 016 </span>  	[๓๑๔] ดิฉันเข้าใจว่า บุรุษค่อมเป็นผู้องอาจ จึงได้รักใคร่บุรุษค่อมผู้นี้นอนตัวงอ   
<span class="LineNumber"> 017 </span>            อยู่ ดุจคันพิณที่มีสายขาดแล้ว ฉะนั้น.       
<span class="LineNumber"> 018 </span>		     จบ วีณาถูณชาดกที่ ๒.             
<span class="LineNumber"> 019 </span>		       ๓. วิกัณณกชาดก 
<span class="LineNumber"> 020 </span>		  คนเห็นแก่อามิสย่อมเดือดร้อน         
<span class="LineNumber"> 021 </span>  	[๓๑๕] เจ้าปรารถนาในที่ใด ก็จงไปในที่นั้นเถิด เจ้าเป็นผู้ถูกชะนักของเราแทง         
<span class="LineNumber"> 022 </span>            แล้ว เจ้าเป็นผู้โลภด้วยอาหารแท้ เมื่อติดตามปลาทั้งหลายมาก็ถูกอาหาร          
<span class="LineNumber"> 023 </span>            มีเสียงกลองกำจัดเสียแล้ว.   
