<span class="LineNumber"> 001 </span>		       นวกนิบาตชาดก   
<span class="LineNumber"> 002 </span>		        ๑. คิชฌชาดก   
<span class="LineNumber"> 003 </span>		   ผู้ไม่ทำตามคำสอนย่อมพินาศ          
<span class="LineNumber"> 004 </span> 	[๑๒๐๗] ทางบนคิชฌบรรพตชื่อว่า ปริสังกุปถะ เป็นของเก่าแก่ แร้งเลี้ยงดู 
<span class="LineNumber"> 005 </span>            มารดาบิดาผู้ชราอยู่ที่ทางนั้น.
<span class="LineNumber"> 006 </span> 	[๑๒๐๘] โดยมากไปเที่ยวหามันข้นงูเหลือมมาให้มารดาบิดาเหล่านั้นกิน ฝ่ายบิดา           
<span class="LineNumber"> 007 </span>            รู้ว่าแร้งสุปัตผู้ลูกมีปีกแข็งแล้ว กล้าหาญ มักร่อนขึ้นไปสูง เที่ยวไป        
<span class="LineNumber"> 008 </span>            ไกลๆ จึงได้กล่าวสอนลูกว่า.  
<span class="LineNumber"> 009 </span> 	[๑๒๐๙] ลูกเอ๋ย เมื่อใด เจ้ารู้ว่าแผ่นดินอันทะเลล้อมรอบ กลมดังกงจักร ลอย            
<span class="LineNumber"> 010 </span>            อยู่บนน้ำเหมือนใบบัว เมื่อนั้น เจ้าจงกลับเสียจากที่นั้น อย่าบินต่อ          
<span class="LineNumber"> 011 </span>            จากนั้นไปอีกเลย.            
<span class="LineNumber"> 012 </span> 	[๑๒๑๐] แร้งสุปัตเป็นสัตว์มีกำลังมาก ปีกแข็ง ร่างกายสมบูรณ์ บินขึ้นไปถึง            
<span class="LineNumber"> 013 </span>            อากาศเบื้องบนโดยกำลังเร็ว เมื่อเหลียวกลับมาแลดูภูเขา และป่าไม้
<span class="LineNumber"> 014 </span>            ทั้งหลาย ฯ  
<span class="LineNumber"> 015 </span> 	[๑๒๑๑] ก็ได้แลเห็นแผ่นดินอันทะเลล้อมรอบ กลมดังกงจักร เหมือนกับคำที่ตน
<span class="LineNumber"> 016 </span>            ได้ฟังมาจากสำนักแร้งผู้บิดา ฉะนั้น.         
<span class="LineNumber"> 017 </span> 	[๑๒๑๒] แร้งสุปัตนั้น ได้บินล่วงเลยที่นั้นขึ้นไปเบื้องหน้าอีก ยอดลมแรงได้           
<span class="LineNumber"> 018 </span>            ประหารแร้งสุปัตผู้มีกำลังมากนั้นให้เป็นจุรณ์. 
<span class="LineNumber"> 019 </span> 	[๑๒๑๓] แร้งสุปัตบินเกินไป ไม่สามารถจะกลับจากที่นั้นได้อีก ตกอยู่ในอำนาจ            
<span class="LineNumber"> 020 </span>            ของลมเวรัพภาวาต ถึงความพินาศแล้ว.           
<span class="LineNumber"> 021 </span> 	[๑๒๑๔] เมื่อแร้งสุปัตไม่ทำตามโอวาทของบิดา บุตรภรรยา และแร้งอื่นๆ ที่ 
<span class="LineNumber"> 022 </span>            อาศัยเลี้ยงชีพ ก็พากันถึงความพินาศไปด้วยทั้งหมด.  
