<span class="LineNumber"> 001 </span>               นาหํ กุมาเร อหิตมนุสฺสรามิ  
<span class="LineNumber"> 002 </span>               น จาปิ อสฺส ภวิสฺสติ อนฺตราโย  
<span class="LineNumber"> 003 </span>               น โอรกายํ อธิมนสา ๑ ภวาถ ฯ  
<span class="LineNumber"> 004 </span>               สมฺโพธิยคฺคํ ผุสิสฺสตายํ กุมาโร  
<span class="LineNumber"> 005 </span>               โส ธมฺมจกฺกํ ปรมวิสุทฺธทสฺสี  
<span class="LineNumber"> 006 </span>               วตฺเตสฺสตายํ พหุชนหิตานุกมฺปี  
<span class="LineNumber"> 007 </span>               วิตฺถาริกสฺส ภวิสฺสติ พฺรหฺมจริยํ ฯ  
<span class="LineNumber"> 008 </span>               มมฺจ อายุ น จิรมิธาวเสโส  
<span class="LineNumber"> 009 </span>               อถนฺตรา เม ภวิสฺสติ กาลกิริยา  
<span class="LineNumber"> 010 </span>               โสหํ น สุสฺสํ ๒ อสมธุรสฺส ธมฺมํ  
<span class="LineNumber"> 011 </span>               เตนมฺหิ อฏฺโฏ พฺยสนคโต ๓  อฆาวี ฯ  
<span class="LineNumber"> 012 </span>               โส สากิยานํ วิปุลํ ชเนตฺวาน ปีตึ  
<span class="LineNumber"> 013 </span>               อนฺเตปุรมฺหา นิรคมา ๔ พฺรหฺมจารี  
<span class="LineNumber"> 014 </span>               โส ภาคิเนยฺยํ สยํ อนุกมฺปมาโน  
<span class="LineNumber"> 015 </span>               สมาทเปสิ อสมธุรสฺส ธมฺเม  
<span class="LineNumber"> 016 </span>               พุทฺโธติ โฆสํ ยทิ ปรโต สุณาสิ  
<span class="LineNumber"> 017 </span>               สมฺโพธิปตฺโต วิวรติ ๕ ธมฺมมคฺคํ  
<span class="LineNumber"> 018 </span>               คนฺตฺวาน ตตฺถ สยํ ๖ ปริปุจฺฉมาโน  
<span class="LineNumber"> 019 </span>               จรสฺสุ ตสฺมึ ภควติ พฺรหฺมจริยํ ฯ  
<span class="LineNumber"> 020 </span>               เตนานุสิฏฺโ€ หิตมเนน ตาทินา  
<span class="LineNumber"> 021 </span>#๑ ม. อธิมานสา ฯ ๒ ม. โสสฺสํ ฯ  ๓ โป. ม. พฺยสนงฺคโต ฯ ๔ โป. ม. นิคมา ฯ  
<span class="LineNumber"> 022 </span>#๕ ยุ. วีจรติ ฯ ๖ ม. ยุ. สมยํ ฯ  
