<span class="LineNumber"> 001 </span>		         ๑๓. วิสาขาเถรีคาถา  
<span class="LineNumber"> 002 </span>		        สุภาษิตชวนประพฤติธรรม  
<span class="LineNumber"> 003 </span>	[๔๑๔] ท่านทั้งหลาย จงทำตามคำสั่งสอนของพระพุทธเจ้า ที่บุคคลทำแล้วไม่  
<span class="LineNumber"> 004 </span>		เดือดร้อนในภายหลัง ขอท่านทั้งหลายรีบล้างเท้าทั้งสองแล้วนั่ง ณ ที่  
<span class="LineNumber"> 005 </span>		ควรเถิด.  
<span class="LineNumber"> 006 </span>		         ๑๔. สุมนาเถรีคาถา  
<span class="LineNumber"> 007 </span>		       สุภาษิตสอนการพิจารณาธาตุ  
<span class="LineNumber"> 008 </span>	[๔๑๕] ท่านจงพิจารณาเห็นธาตุ ทั้งหลายโดยความเป็นทุกข์แล้ว อย่าเข้าถึง  
<span class="LineNumber"> 009 </span>	ความเกิดอีกเลย ท่านคลายความพอใจในภพแล้ว จักเป็นผู้สงบระงับ  
<span class="LineNumber"> 010 </span>		เที่ยวไป.  
<span class="LineNumber"> 011 </span>		         ๑๕. อุตตราเถรีคาถา  
<span class="LineNumber"> 012 </span>		         สุภาษิตสอนการสังวร  
<span class="LineNumber"> 013 </span>	[๔๑๖] เราเป็นผู้สำรวมแล้วด้วยกาย วาจา และใจ ถอนตัณหาขึ้นพร้อมทั้งราก  
<span class="LineNumber"> 014 </span>		แล้ว เป็นผู้มีความเย็นใจดับสนิทแล้ว.  
<span class="LineNumber"> 015 </span>		     ๑๖. สุมนวุฐฒปัพพชิตาเถรีคาถา  
<span class="LineNumber"> 016 </span>		         สุภาษิตสอนการนุ่งห่ม  
<span class="LineNumber"> 017 </span>	[๔๑๗] ดูกรนางสุมนาผู้เจริญ ท่านจงทำไตรจีวรด้วยท่อนผ้า นุ่งห่มแล้วนอนให้  
<span class="LineNumber"> 018 </span>		สบายเถิด เพราะราคะของท่านสงบระงับแล้ว ท่านเป็นผู้มีความเย็นใจ  
<span class="LineNumber"> 019 </span>		ดับสนิทแล้ว.  
