<span class="LineNumber"> 001 </span>	ฆฏบัณฑิตกราบทูลว่า  
<span class="LineNumber"> 002 </span>		ข้าแต่พระองค์ผู้กัณหโคตร ถ้าพระองค์ทรงพร่ำสอนผู้อื่น ฉันใด ขอให้  
<span class="LineNumber"> 003 </span>		พระองค์ทรงทราบฉันนั้นเถิด เพราะเหตุไฉน พระองค์จึงทรง  
<span class="LineNumber"> 004 </span>		พระกรรแสงถึงราชโอรสที่ทิวงคตแล้ว แต่ก่อนมา แม้จนวันนี้เล่า  
<span class="LineNumber"> 005 </span>		มนุษย์หรืออมนุษย์ไม่พึงได้ตามปรารถนาว่า ขอบุตรของเราที่เกิดมาแล้ว  
<span class="LineNumber"> 006 </span>		จงอย่าตาย พระองค์จะทรงได้โอรสที่ทิวงคตแล้วซึ่งไม่ควรได้แต่ที่ไหน  
<span class="LineNumber"> 007 </span>		ข้าแต่พระองค์ผู้กัณหโคตร พระองค์ทรงกรรแสงถึงราชโอรสที่ทิวงคต  
<span class="LineNumber"> 008 </span>		แล้วไม่สามารถจะนำคืนมาด้วยมนต์ รากยาโอสถ หรือทรัพย์ได้  
<span class="LineNumber"> 009 </span>		แม้กษัตริย์ทั้งหลายมีแว่นแคว้นมาก มีทรัพย์มาก มีโภคะมาก  
<span class="LineNumber"> 010 </span>		มีทรัพย์และข้าวเปลือกมาก จะไม่ทรงชราและไม่สวรรคต ไม่มีเลย  
<span class="LineNumber"> 011 </span>		แม้กษัตริย์ พราหมณ์ แพศย์ ศูทร คนจัณฑาล คนเทหยากเยื่อ  
<span class="LineNumber"> 012 </span>		จะไม่แก่และไม่ตาย เพราะชาติของตน ก็ไม่มีเลย ชนเหล่าใดร่ายมนต์  
<span class="LineNumber"> 013 </span>		อันประกอบด้วยองค์ ๖  อันพราหมณ์คิดแล้ว ชนเหล่านั้นจะไม่แก่  
<span class="LineNumber"> 014 </span>		และไม่ตายเพราะวิชาของตน ก็ไม่มีเลย แม้พวกฤาษีเหล่าใดเป็นผู้สงบ  
<span class="LineNumber"> 015 </span>		มีตนอันสำรวมแล้ว มีตบะ แม้พวกฤาษีผู้มีตบะเหล่านั้น ย่อมละร่างกาย  
<span class="LineNumber"> 016 </span>		ไปตามกาล พระอรหันต์ทั้งหลายมีตนอันอบรมแล้ว ทำกิจเสร็จแล้ว  
<span class="LineNumber"> 017 </span>		ไม่มีอาสวะ สิ้นบุญและบาป ย่อมทอดทิ้งร่างกายนี้ไว้.  
<span class="LineNumber"> 018 </span>	พระเจ้าวาสุเทพตรัสว่า  
<span class="LineNumber"> 019 </span>		เธอดับความกระวนกระวายทั้งปวงของเรา ผู้เร่าร้อนอยู่ให้หายเหมือน  
<span class="LineNumber"> 020 </span>		บุคคลดับไฟที่ราดน้ำมันด้วยน้ำนั้น ฉะนั้น เธอบรรเทาความโศกถึงบุตร  
<span class="LineNumber"> 021 </span>		ของเราผู้ถูกความโศกครอบงำ ได้ถอนขึ้นแล้วหนอซึ่งลูกศร คือ  
<span class="LineNumber"> 022 </span>		ความโศกอันเสียบแทงแล้วที่หทัยของเรา เราเป็นผู้มีลูกศร คือ ความ  
