<span class="LineNumber"> 001 </span>		          ๙. ภัทราเถรีคาถา  
<span class="LineNumber"> 002 </span>		     พระพุทธโอวาทสอนนางภัทราเถรี  
<span class="LineNumber"> 003 </span>	[๔๑๐] ดูกรนางภัทรา เธอบวชแล้วด้วยศรัทธา จงเป็นผู้ยินดีแล้วในธรรมอัน  
<span class="LineNumber"> 004 </span>		เจริญ จงอบรมกุศลทั้งหลายให้เจริญ เพื่อบรรลุธรรมอันเกษมจากโยคะ  
<span class="LineNumber"> 005 </span>		อย่างยอดเยี่ยม.  
<span class="LineNumber"> 006 </span>		         ๑๐. อุปสมาเถรีคาถา  
<span class="LineNumber"> 007 </span>		    พระพุทธโอวาทสอนนางอุปสมาเถรี  
<span class="LineNumber"> 008 </span>	[๔๑๑] ดูกรนางอุปสมา เธอจงข้ามโอฆะอันเป็นบ่วงมารที่ข้ามได้แสนยาก เธอ  
<span class="LineNumber"> 009 </span>		จงชนะมารพร้อมด้วยพาหนะ ทรงไว้ซึ่งกายอันมีในที่สุด.  
<span class="LineNumber"> 010 </span>		         ๑๑. มุตตาเถรีคาถา  
<span class="LineNumber"> 011 </span>		        สุภาษิตแสดงความหลุดพ้น  
<span class="LineNumber"> 012 </span>	[๔๑๒] เราผู้ชื่อว่ามุตตาเป็นผู้หลุดพ้นแล้วด้วยดี ด้วยการหลุดพ้นจากความค่อม  
<span class="LineNumber"> 013 </span>		๓ อย่าง คือ ค่อมเพราะครก ๑ ค่อมเพราะสาก ๑ ค่อมเพราะสามี ๑  
<span class="LineNumber"> 014 </span>		และเป็นผู้หลุดพ้นแล้วจากความเกิดและความตาย ถอนตัณหาเครื่อง  
<span class="LineNumber"> 015 </span>		นำไปสู่ภพขึ้นได้แล้ว.  
<span class="LineNumber"> 016 </span>		       ๑๒. ธรรมทินนาเถรีคาถา  
<span class="LineNumber"> 017 </span>		      สุภาษิตแสดงการบรรลุนิพพาน  
<span class="LineNumber"> 018 </span>	[๔๑๓] เราเป็นผู้มีฉันทะอันเกิดแล้ว มีที่สุดอันมิใช่วิสัย เป็นผู้ถูกต้องแล้วซึ่ง  
<span class="LineNumber"> 019 </span>		นิพพานด้วยใจ และไม่มีจิตปฏิพัทธ์ในกามทั้งหลาย บัณฑิตย่อมเรียกว่า  
<span class="LineNumber"> 020 </span>		มีกระแสในเบื้องต้น.  
