<span class="LineNumber"> 001 </span>		สฺวาสิ ปาสาณมาสีโน        ยสฺมา ชีวํ น โมกฺขสีติ ฯ  
<span class="LineNumber"> 002 </span>			 มิตฺตวินฺทชาตกํ ทุติยํ ฯ  
<span class="LineNumber"> 003 </span>			    ____________  
<span class="LineNumber"> 004 </span>			   ๓ กาฬกณฺณิชาตกํ  
<span class="LineNumber"> 005 </span>	   [๘๓] มิตฺโต หเว สตฺตปเทน โหติ  
<span class="LineNumber"> 006 </span>		 สหาโย ปน ทฺวาทสเกน โหติ  
<span class="LineNumber"> 007 </span>		 มาสฑฺฒมาเสน จ าติ โหติ  
<span class="LineNumber"> 008 </span>		 ตตุตฺตรึ อตฺตสโมปิ โหติ  
<span class="LineNumber"> 009 </span>		 โสหํ กถํ อตฺตสุขสฺส เหตุ  
<span class="LineNumber"> 010 </span>		 จิรสนฺถุตํ ๑ กาฬกณฺณึ ชเหยฺยนฺติ ฯ  
<span class="LineNumber"> 011 </span>			  กาฬกณฺณิชาตกํ ตติยํ ฯ  
<span class="LineNumber"> 012 </span>			     ___________  
<span class="LineNumber"> 013 </span>			 ๔ อตฺถสฺสทฺวารชาตกํ  
<span class="LineNumber"> 014 </span>	   [๘๔] อาโรคฺยมิจฺเฉ ปรมฺจ ลาภํ  
<span class="LineNumber"> 015 </span>		 สีลฺจ พุทฺธานุมตํ สุตฺจ  
<span class="LineNumber"> 016 </span>		 ธมฺมานุวตฺตี จ อลีนตา จ  
<span class="LineNumber"> 017 </span>		 อตฺถสฺส ทฺวารา ปมุขา ฉเฬเตติ ฯ  
<span class="LineNumber"> 018 </span>		 อตฺถสฺสทฺวารชาตกํ จตุตฺถํ ฯ  
<span class="LineNumber"> 019 </span>			    ____________  
<span class="LineNumber"> 020 </span>#๑ ยุ. จิรสตฺถุ นํ ฯ  
